price	invoice	biprice	hp	es	mpg	age	region	drtype
94.8 	88.3 	0 	302	5.0	16	8.8	AREA1	AWD
128.4 	119.6 	0 	493	5.5	13	12.7	AREA1	AWD
45.7 	42.0 	0 	215	3.2	20	6.8	AREA1	AWD
52.8 	49.1 	0 	302	5.0	17	8.5	AREA1	AWD
48.2 	44.8 	0 	221	3.2	19	6.4	AREA1	AWD
57.3 	53.4 	0 	302	5.0	16	8.5	AREA1	AWD
74.3 	69.2 	0 	275	4.3	18	9.0	AREA1	AWD
87.0 	80.9 	0 	302	5.0	16	8.7	AREA1	FWD
90.5 	84.3 	0 	302	5.0	16	8.8	AREA1	AWD
121.8 	113.4 	0 	493	5.5	14	8.2	AREA1	AWD
126.7 	117.9 	0 	493	5.5	13	12.1	AREA1	AWD
40.3 	37.5 	0 	192	2.3	21	5.0	AREA1	AWD
56.2 	52.3 	0 	349	3.2	17	6.9	AREA1	AWD
33.8 	31.5 	0 	168	2.6	19	6.2	AREA1	AWD
50.7 	47.2 	0 	221	3.2	19	6.7	AREA1	AWD
60.7 	56.5 	0 	302	5.0	16	8.4	AREA1	FWD
30.0 	27.3 	0 	210	4.0	16	6.3	AREA2	RWD
21.6 	19.8 	1 	155	3.0	20	6.5	AREA2	RWD
24.7 	23.2 	1 	224	4.6	17	8.0	AREA2	AWD
29.6 	27.1 	0 	224	4.6	17	8.8	AREA2	AWD
23.9 	21.9 	1 	201	3.0	19	6.6	AREA2	RWD
30.9 	28.3 	0 	224	4.6	17	8.5	AREA2	AWD
34.5 	31.6 	0 	302	4.6	17	8.6	AREA2	AWD
34.0 	30.8 	0 	201	4.2	16	6.4	AREA2	RWD
22.6 	20.7 	1 	155	3.0	19	6.0	AREA2	RWD
30.5 	28.3 	0 	215	3.8	17	6.3	AREA1	FWD
33.1 	30.8 	0 	215	3.8	15	6.1	AREA1	FWD
18.9 	17.6 	1 	160	2.4	21	4.7	AREA1	RWD
14.6 	13.8 	1 	120	2.0	25	5.0	AREA1	RWD
16.7 	15.7 	1 	120	2.0	25	4.3	AREA1	RWD
19.3 	18.0 	1 	160	2.4	23	4.6	AREA1	RWD
17.2 	16.2 	1 	120	2.0	25	4.2	AREA1	RWD
29.3 	27.3 	0 	205	3.5	18	6.4	AREA1	RWD
25.7 	23.9 	0 	230	3.8	18	6.8	AREA1	RWD
25.1 	23.5 	0 	210	3.0	21	6.2	AREA1	RWD
27.0 	25.2 	0 	210	3.0	21	6.1	AREA1	RWD
29.6 	27.5 	0 	271	2.0	18	4.2	AREA1	RWD
17.5 	16.3 	1 	160	2.4	25	4.2	AREA1	RWD
33.8 	30.8 	0 	305	5.6	13	8.0	AREA1	RWD
27.3 	26.0 	0 	240	3.5	16	6.7	AREA1	RWD
20.9 	19.5 	1 	180	3.3	17	6.2	AREA1	RWD
12.7 	12.2 	1 	126	1.8	28	4.6	AREA1	RWD
14.7 	13.7 	1 	126	1.8	28	4.8	AREA1	RWD
19.2 	18.0 	1 	175	2.5	21	4.4	AREA1	RWD
17.6 	16.4 	1 	165	2.5	23	4.4	AREA1	RWD
23.3 	21.6 	1 	245	3.5	21	6.4	AREA1	RWD
27.5 	25.2 	0 	265	3.5	20	6.2	AREA1	RWD
29.4 	27.0 	0 	265	3.5	20	6.3	AREA1	RWD
24.8 	23.0 	1 	240	3.5	19	6.6	AREA1	RWD
32.8 	30.0 	0 	240	3.5	18	6.2	AREA1	RWD
26.9 	25.2 	0 	287	3.5	20	6.2	AREA1	AWD
34.4 	31.8 	0 	287	3.5	20	6.8	AREA1	AWD
19.5 	18.3 	1 	180	3.3	17	6.9	AREA1	FWD
26.7 	24.9 	0 	305	5.6	14	8.6	AREA1	FWD
28.7 	27.3 	0 	245	3.5	20	6.1	AREA1	AWD
18.8 	17.6 	1 	140	2.2	24	4.1	AREA2	RWD
23.7 	21.5 	1 	170	3.4	20	6.5	AREA2	RWD
28.8 	26.1 	0 	185	3.4	19	6.9	AREA2	RWD
21.6 	19.8 	1 	185	3.4	19	6.1	AREA2	RWD
15.5 	14.4 	1 	140	2.2	24	4.4	AREA2	RWD
22.5 	20.6 	1 	175	3.4	20	6.2	AREA2	RWD
22.4 	20.5 	1 	200	3.8	20	6.2	AREA2	RWD
17.7 	16.4 	1 	140	2.2	24	4.0	AREA2	RWD
24.3 	22.3 	1 	200	3.8	20	6.3	AREA2	RWD
36.0 	33.0 	0 	275	4.6	17	8.9	AREA2	RWD
23.8 	21.6 	1 	185	3.4	19	6.6	AREA2	RWD
31.4 	28.5 	0 	185	3.4	18	6.1	AREA2	FWD
33.5 	30.7 	0 	340	5.7	16	8.1	AREA2	AWD
17.0 	16.0 	1 	130	1.8	29	4.1	AREA2	AWD
56.7 	49.9 	0 	340	4.5	14	8.5	AREA1	FWD
79.2 	69.2 	0 	315	3.6	18	7.0	AREA1	AWD
84.2 	72.2 	0 	315	3.6	17	6.4	AREA1	FWD
76.8 	67.1 	0 	315	3.6	18	6.1	AREA1	AWD
192.5 	173.6 	0 	477	3.6	17	6.3	AREA1	AWD
43.4 	37.9 	0 	228	2.7	20	6.4	AREA1	AWD
52.4 	45.8 	0 	258	3.2	18	6.2	AREA1	AWD
30.9 	29.3 	0 	210	2.0	20	4.4	AREA1	RWD
33.4 	31.6 	0 	210	2.0	20	4.1	AREA1	RWD
35.1 	33.0 	0 	220	2.3	21	4.4	AREA1	RWD
39.5 	37.7 	0 	250	2.3	21	4.5	AREA1	RWD
40.7 	38.5 	0 	210	2.0	21	4.7	AREA1	RWD
43.2 	40.9 	0 	210	2.0	21	4.5	AREA1	RWD
40.8 	38.4 	0 	250	2.3	19	4.9	AREA1	RWD
20.6 	19.2 	1 	143	2.2	21	4.4	AREA2	FWD
11.0 	10.3 	1 	140	2.2	26	4.1	AREA2	RWD
14.3 	13.4 	1 	140	2.2	26	5.0	AREA2	RWD
15.8 	14.8 	1 	140	2.2	26	4.1	AREA2	RWD
14.9 	13.9 	1 	140	2.2	26	4.7	AREA2	RWD
16.4 	15.3 	1 	140	2.2	26	4.9	AREA2	RWD
21.4 	19.8 	1 	182	3.0	20	6.2	AREA2	RWD
23.6 	21.8 	1 	140	2.2	24	4.4	AREA2	RWD
13.0 	12.3 	1 	108	1.5	32	4.6	AREA1	RWD
14.2 	13.5 	1 	108	1.5	31	4.2	AREA1	RWD
19.9 	18.4 	1 	165	2.5	22	4.8	AREA1	FWD
20.4 	18.7 	1 	165	2.5	21	4.4	AREA1	FWD
25.6 	23.3 	0 	165	2.5	21	4.6	AREA1	FWD
27.1 	24.7 	0 	165	2.5	20	4.9	AREA1	FWD
29.3 	26.7 	0 	212	3.0	19	6.6	AREA1	FWD
31.5 	28.6 	0 	212	3.0	19	6.7	AREA1	FWD
25.0 	23.0 	0 	227	2.0	20	4.3	AREA1	FWD
31.5 	29.1 	0 	300	2.5	18	4.4	AREA1	FWD
24.5 	22.3 	1 	165	2.5	21	4.5	AREA1	FWD
21.4 	19.6 	1 	165	2.5	21	4.3	AREA1	FWD
23.9 	21.8 	1 	165	2.5	21	4.7	AREA1	FWD
23.7 	22.3 	1 	185	2.7	18	6.6	AREA1	RWD
17.2 	16.9 	1 	165	2.5	19	6.0	AREA1	FWD
12.9 	12.7 	1 	155	2.3	25	4.8	AREA1	RWD
14.5 	14.3 	1 	155	2.3	25	4.1	AREA1	RWD
12.3 	12.1 	1 	119	2.0	24	4.1	AREA1	RWD
15.6 	15.4 	1 	119	2.0	22	4.2	AREA1	RWD
17.3 	17.1 	1 	155	2.5	20	6.6	AREA1	RWD
16.5 	16.3 	1 	155	2.3	24	4.6	AREA1	FWD
20.5 	18.9 	1 	110	1.5	59	5.0	AREA1	RWD
35.7 	31.8 	0 	240	4.7	14	8.8	AREA1	FWD
27.7 	24.8 	0 	245	4.0	18	6.4	AREA1	RWD
27.9 	24.9 	0 	230	3.3	18	6.8	AREA1	FWD
54.8 	48.0 	0 	325	4.7	13	8.3	AREA1	FWD
20.3 	18.6 	1 	161	2.4	22	4.1	AREA1	FWD
14.1 	13.1 	1 	130	1.8	32	4.6	AREA1	RWD
15.0 	13.7 	1 	130	1.8	32	4.3	AREA1	RWD
15.3 	13.9 	1 	130	1.8	32	4.6	AREA1	RWD
10.8 	10.1 	1 	108	1.5	35	4.1	AREA1	RWD
11.6 	10.9 	1 	108	1.5	33	4.5	AREA1	RWD
11.3 	10.6 	1 	108	1.5	35	4.5	AREA1	RWD
19.6 	17.6 	1 	157	2.4	24	4.7	AREA1	RWD
22.8 	20.3 	1 	210	3.0	21	6.8	AREA1	RWD
19.6 	17.7 	1 	157	2.4	24	4.4	AREA1	RWD
22.0 	19.8 	1 	225	3.3	20	6.8	AREA1	RWD
26.6 	23.7 	0 	210	3.0	21	6.9	AREA1	RWD
25.9 	23.1 	0 	210	3.0	21	6.1	AREA1	RWD
26.5 	23.9 	0 	225	3.3	20	7.0	AREA1	RWD
30.9 	27.3 	0 	210	3.0	21	6.4	AREA1	RWD
23.5 	21.2 	1 	230	3.3	19	6.7	AREA1	RWD
28.8 	25.7 	0 	230	3.3	19	6.2	AREA1	RWD
22.6 	20.4 	1 	180	1.8	24	4.6	AREA1	RWD
25.1 	22.8 	0 	138	1.8	26	4.1	AREA1	AWD
12.8 	11.9 	1 	142	2.4	22	4.8	AREA1	AWD
16.5 	15.0 	1 	190	3.4	16	6.0	AREA1	AWD
25.9 	23.5 	0 	190	3.4	14	6.6	AREA1	FWD
16.7 	15.2 	1 	130	1.8	29	4.5	AREA1	RWD
35.5 	32.2 	0 	220	3.2	15	6.5	AREA1	FWD
18.7 	17.5 	1 	115	2.0	24	4.4	AREA1	RWD
19.8 	18.1 	1 	180	1.8	24	4.9	AREA1	RWD
21.1 	19.6 	1 	100	1.9	38	4.7	AREA1	RWD
21.1 	19.6 	1 	150	1.8	24	4.4	AREA1	RWD
23.8 	21.7 	1 	200	2.8	21	7.0	AREA1	RWD
23.2 	21.7 	1 	115	2.0	24	4.8	AREA1	RWD
24.0 	21.9 	1 	170	1.8	22	4.6	AREA1	RWD
33.2 	30.6 	0 	190	2.8	19	6.3	AREA1	RWD
